,node,past1,past2,past3
282,2.311,2.3014,2.2998,2.301
283,2.3146,2.311,2.3014,2.2998
284,2.3181,2.3146,2.311,2.3014
285,2.3184,2.3181,2.3146,2.311
286,2.3292,2.3184,2.3181,2.3146
287,2.3303,2.3292,2.3184,2.3181
288,2.3411,2.3303,2.3292,2.3184
289,2.334,2.3411,2.3303,2.3292
290,2.33,2.334,2.3411,2.3303
291,2.3084,2.33,2.334,2.3411
292,2.3034,2.3084,2.33,2.334
293,2.3093,2.3034,2.3084,2.33
294,2.2979,2.3093,2.3034,2.3084
295,2.2878,2.2979,2.3093,2.3034
296,2.2923,2.2878,2.2979,2.3093
297,2.302,2.2923,2.2878,2.2979
298,2.3014,2.302,2.2923,2.2878
299,2.2949,2.3014,2.302,2.2923
300,2.3028,2.2949,2.3014,2.302
301,2.2994,2.3028,2.2949,2.3014
302,2.3164,2.2994,2.3028,2.2949
303,2.3235,2.3164,2.2994,2.3028
304,2.3379,2.3235,2.3164,2.2994
305,2.3368,2.3379,2.3235,2.3164
306,2.3444,2.3368,2.3379,2.3235
307,2.3475,2.3444,2.3368,2.3379
308,2.3421,2.3475,2.3444,2.3368
309,2.333,2.3421,2.3475,2.3444
310,2.333,2.333,2.3421,2.3475
311,2.327,2.333,2.333,2.3421
312,2.331,2.327,2.333,2.333
313,2.3288,2.331,2.327,2.333
314,2.3237,2.3288,2.331,2.327
315,2.328,2.3237,2.3288,2.331
316,2.3215,2.328,2.3237,2.3288
317,2.3123,2.3215,2.328,2.3237
318,2.3087,2.3123,2.3215,2.328
319,2.3051,2.3087,2.3123,2.3215
320,2.3025,2.3051,2.3087,2.3123
321,2.2957,2.3025,2.3051,2.3087
322,2.29,2.2957,2.3025,2.3051
323,2.275,2.29,2.2957,2.3025
324,2.2656,2.275,2.29,2.2957
325,2.2632,2.2656,2.275,2.29
326,2.2674,2.2632,2.2656,2.275
327,2.2649,2.2674,2.2632,2.2656
328,2.2705,2.2649,2.2674,2.2632
329,2.2692,2.2705,2.2649,2.2674
330,2.2525,2.2692,2.2705,2.2649
331,2.2461,2.2525,2.2692,2.2705
332,2.2364,2.2461,2.2525,2.2692
333,2.2258,2.2364,2.2461,2.2525
334,2.2215,2.2258,2.2364,2.2461
335,2.2182,2.2215,2.2258,2.2364
336,2.2091,2.2182,2.2215,2.2258
337,2.217,2.2091,2.2182,2.2215
338,2.2201,2.217,2.2091,2.2182
339,2.2266,2.2201,2.217,2.2091
340,2.2327,2.2266,2.2201,2.217
341,2.2458,2.2327,2.2266,2.2201
342,2.2513,2.2458,2.2327,2.2266
343,2.2406,2.2513,2.2458,2.2327
344,2.2291,2.2406,2.2513,2.2458
345,2.2372,2.2291,2.2406,2.2513
346,2.2519,2.2372,2.2291,2.2406
347,2.2675,2.2519,2.2372,2.2291
348,2.2618,2.2675,2.2519,2.2372
349,2.2533,2.2618,2.2675,2.2519
350,2.2554,2.2533,2.2618,2.2675
351,2.2496,2.2554,2.2533,2.2618
352,2.2532,2.2496,2.2554,2.2533
353,2.2682,2.2532,2.2496,2.2554
354,2.2715,2.2682,2.2532,2.2496
355,2.2733,2.2715,2.2682,2.2532
356,2.2798,2.2733,2.2715,2.2682
357,2.2884,2.2798,2.2733,2.2715
358,2.2829,2.2884,2.2798,2.2733
359,2.2904,2.2829,2.2884,2.2798
360,2.2945,2.2904,2.2829,2.2884
361,2.2988,2.2945,2.2904,2.2829
362,2.2969,2.2988,2.2945,2.2904
363,2.29,2.2969,2.2988,2.2945
364,2.282,2.29,2.2969,2.2988
365,2.276,2.282,2.29,2.2969
366,2.2787,2.276,2.282,2.29
367,2.2862,2.2787,2.276,2.282
368,2.2882,2.2862,2.2787,2.276
369,2.2945,2.2882,2.2862,2.2787
370,2.2902,2.2945,2.2882,2.2862
371,2.2871,2.2902,2.2945,2.2882
372,2.2941,2.2871,2.2902,2.2945
373,2.3001,2.2941,2.2871,2.2902
374,2.2958,2.3001,2.2941,2.2871
375,2.292,2.2958,2.3001,2.2941
376,2.2912,2.292,2.2958,2.3001
377,2.2929,2.2912,2.292,2.2958
378,2.2982,2.2929,2.2912,2.292
